HUC8_id,agland_fraction,forrest_fraction,grassland_fraction
17040101,6.985838129378397E-4,0.43345929671302025,0.03569736976080464
17110006,2.660172996546889E-4,0.7984498557871618,0.007245101073038805
17110016,0.004808085614188744,0.5624890779634723,0.11905097349975062
17100103,0.00817310870152591,0.6576020808635845,0.13348163648174582
17010302,0.0015517515804314684,0.7974190748036828,0.004816012467112969
17010301,3.5231702593929926E-4,0.9247407722517079,0.0035526588943076464
17040205,0.13701131998000596,0.18544725120521358,0.050662701690171466
17060202,0.028971825792832948,0.1605244357546212,0.02549671991842806
17060206,9.523874060102987E-5,0.4557750505089775,0.04711619324866273
17060305,0.15578816516340951,0.7038475584285433,0.043564922491110165
17010203,0.013874234714369866,0.6014856738552605,0.1389929217625508
17010202,0.01850208233547498,0.5968715055831604,0.12413455594862964
17010201,0.03080805699632193,0.4514639424977833,0.24321118296412672
17010209,3.5762649499997834E-4,0.6748354276482241,0.05776850872206289
17010211,0.003477763403433106,0.8077494103217524,0.014110387328422052
17010212,0.10159785086845688,0.37976002869419256,0.31822260756637993
17010102,7.099449303693752E-4,0.7328093612425554,0.011171093367605363
17010207,7.448084795229246E-4,0.6387300597660679,0.04142443224833888
17090010,0.15630029852901645,0.4071258990241876,0.13540519323679912
17090009,0.20966064798207718,0.4529771192790125,0.18108666671456417
17090011,0.003110751186461087,0.8335363148254838,0.07114524566430602
17070204,0.1478456337323224,0.11672307361652354,0.370990186241887
17020003,0.050819019709535555,0.7080426280738799,0.030754407972253848
17020009,0.012295422974738898,0.36960354774239346,0.12589917147796342
17080004,4.027903035904785E-4,0.859631163667854,0.011043257551919027
17080002,0.002598416629286627,0.7669308776190333,0.0571759738414556
17070106,0.08953483658152118,0.5041766516433939,0.10634725560157177
17020011,0.011450070898730286,0.6322654157943026,0.0617033031458093
17020004,0.002248065876988073,0.6118950588251921,0.06404622302876926
17040102,0.0011914107077707209,0.5041344546547217,0.05996575918990974
17060204,0.029479479015177154,0.2434831474480136,0.10206250641827302
17010205,0.014653742564201171,0.5304898187088655,0.11162929315101482
17010304,0.008788900161301422,0.7611583084255356,0.01487957949194076
17060307,1.3159205148622618E-4,0.853627747720671,0.0024125598890150867
17060303,1.8059119668275024E-4,0.776054111502705,0.030439494834256318
17060306,0.32675822225199913,0.38516831905979176,0.08760965565068016
17010306,0.5246570660251876,0.19319911282324614,0.04434733926591354
17010308,0.11422194169733282,0.5411501902143032,0.02330661567752705
17010305,0.06040464733140312,0.4909684141380917,0.014544307240993865
17040204,0.3399474120878892,0.327885370386707,0.01972827417312999
17040105,0.08871733098098042,0.4615101787595349,0.008593869388730208
17070102,0.5567319388501029,0.1714737560828025,0.1129350480246438
17040202,0.024065919131810595,0.5648969802474197,0.002924551420744105
18090202,3.402501067699723E-4,0.014567534978877906,0.007476004225199331
18020151,0.005178852474044621,0.4330375214545465,0.13069087658463976
18020153,0.004166320494751317,0.5322300248137104,0.08154769498069948
18010207,0.09911781135663028,0.3672799480010685,0.16554709817040586
18010211,5.614430795185252E-4,0.6961074564175204,0.018907319535864584
18010208,0.05879075061508944,0.5005482781172155,0.047009954477747355
18010210,5.30736003501072E-4,0.6932562323690191,0.02528230716477486
18020152,0.0057875096641716115,0.21321684470875193,0.14334186104305385
18010212,3.434699313035687E-4,0.6874387076208042,0.010552009584367108
18010104,0.0029143032713400104,0.5003292829167854,0.03710757523787417
18020162,0.0448353829494096,0.15046066418612383,0.19389908860454225
18060005,0.09895420745691087,0.1268856363034831,0.302346655500829
18040014,0.027721432748824288,0.07513438016999421,0.628231944882476
18060004,0.09247963259137308,0.009320085199784509,0.6006986500182695
18040006,2.8454425670217695E-4,0.5457688047565475,0.02369345830449535
18020125,0.007660360164952871,0.7876400901227378,0.015436152750243364
18070203,0.005581251944162517,0.09658500554387385,0.05657322227401311
18070202,0.10062291834437148,0.06702125441762856,0.10976316309984578
18010201,0.0034947751454731577,0.6977692184979407,0.009794402625393633
18010202,0.009530421584813941,0.5726898519535688,0.026069451502711893
18100204,0.14585678773106742,1.7881771240425723E-4,0.034304817863980895
17100301,0.004414755075011296,0.8436900662805622,0.061448462379103064
17100311,6.139572805537079E-4,0.5183472457980767,0.20778528881293942
17100309,0.003078930274812604,0.7667284285121241,0.04797421405713524
17040210,0.1377191767063668,0.08571075051596415,0.08952413514744902
17040209,0.2209287099192457,0.014026667430407572,0.2793730793537237
17060210,0.0027535640035652653,0.6510895555241825,0.06539710277503866
17040219,0.07531325566824386,0.19979069415264558,0.13064435803714444
17040220,0.22666438376326237,0.05353513424917383,0.09083183605082402
17040221,0.12767501605869103,0.06807044775689253,0.2809624743264327
17070103,0.3348026363724264,0.16566262958955924,0.31027976057541884
17070202,0.005668964246609536,0.596622953619237,0.1802551352422833
17070305,0.032787045683751424,0.2203451799683069,0.03611955615890034
17090004,0.003969706070003773,0.8402364655494273,0.04864918052346019
17070306,0.08180233189176646,0.2614573239864772,0.3464664003122938
17090005,0.05060441804899057,0.7633122583711581,0.05901258789252959
17090006,0.042301841453525314,0.7274059006394228,0.1157297912348743
17090001,0.0024223946133024674,0.8867802521040161,0.022703336353880856
17090002,0.01084410818148875,0.7705470259518954,0.100005071349729
17040213,0.024823385113778833,0.018671136979330403,0.15895057142359484
