date,water_year,huc8,area_acres,AgEra-5_precipitation_mm,prism_precipitation_mm,rdpa_precipitation_mm,nclimgrid_precipitation_mm,gridmet_precipitation_mm,chirps_precipitation_mm,ensemble_et_mm,disalexi_et_mm,eemetric_et_mm,ptjpl_et_mm,ssebop_et_mm,geesebal_et_mm,q_mm,wbet_AgEra-5_mm,wbet_prism_mm,wbet_rdpa_mm,wbet_nclimgrid_mm,wbet_gridmet_mm,wbet_chirps_mm
2003-10-01,2004,17070202,1182991.19,27.264250856649383,18.509879429876047,28.566563184358102,18.595789999098464,18.45792544483789,23.42232411602901,33.22720542075018,25.744368871757604,31.09133145576407,39.94992322626534,33.82893252573045,33.345774654174484,1.688442275880417,25.575808580768967,16.82143715399563,26.878120908477687,16.90734772321805,16.769483168957475,21.733881840148594
2003-11-01,2004,17070202,1182991.19,76.47896086434902,53.40269442490044,94.52246657029109,54.68259881449035,53.48550344387614,50.97655263388348,12.560816120194136,14.203728776747932,8.579947524275706,17.061646616235315,14.76011259509379,7.7556703859371,2.221922372672562,74.25703849167645,51.18077205222788,92.30054419761852,52.46067644181779,51.26358107120358,48.75463026121092
2003-12-01,2004,17070202,1182991.19,113.34077172759596,92.23820246239748,130.54941196190046,105.16527324854816,95.7084352911034,93.6164723505185,5.1506438490364195,5.6646050216615205,4.108877126422158,8.131525313272352,7.31871373692409,2.5239940251569304,4.79922558576016,108.54154614183581,87.43897687663733,125.7501863761403,100.366047662788,90.90920970534324,88.81724676475835
2004-01-01,2004,17070202,1182991.19,89.4709241585876,98.60099764775906,169.44032346520385,100.11142762826566,97.08150617445511,68.79793822788719,6.548401086429581,10.215197820579125,5.239418082506793,13.251830010881912,11.534924920867264,4.93686087522601,16.39126412923772,73.07966002934987,82.20973351852135,153.04905933596612,83.72016349902793,80.69024204521739,52.40667409864947
2004-02-01,2004,17070202,1182991.19,58.85629692551333,59.10907321604142,84.84242011683011,62.63394086751884,54.80481836652733,48.004348120164,10.404864451423672,17.71979306913765,6.6165525756237065,18.4709854947484,12.17064609557817,11.524804809125628,23.523922152925774,35.332374772587556,35.585151063115646,61.318497963904335,39.11001871459307,31.280896213601554,24.48042596723823
2004-03-01,2004,17070202,1182991.19,39.72428370556635,30.77579728271764,44.86271982881176,32.752524279088284,32.04313707414215,28.62729767017865,47.87262790414357,47.53910945726774,37.75453090445754,61.67447217144987,35.29878937230093,55.70099990495406,58.816193447464265,-19.091909741897915,-28.040396164746625,-13.953473618652502,-26.06366916837598,-26.773056373322113,-30.188895777285616
2004-04-01,2004,17070202,1182991.19,51.307071151101376,45.06585191517459,63.3749219141065,53.94622141145126,46.25689134371005,47.934434405909165,73.41233935065263,75.71546909474881,45.53401778204579,98.2391194120806,53.811184518284776,94.02597482057055,49.94444856738797,1.362622583713403,-4.878596652213382,13.430473346718529,4.001772844063289,-3.6875572236779206,-2.010014161478807
2004-05-01,2004,17070202,1182991.19,126.55178822313556,115.07154027813657,77.65034804866531,117.0898918865565,109.74765710278696,81.02760592875535,77.11984217320288,75.60257702199787,56.53284188438929,96.33036355022016,57.11074882286575,95.93541231582162,62.35262631440712,64.19916190872844,52.71891396372945,15.29772173425819,54.73726557214938,47.39503078837984,18.67497961434823
2004-06-01,2004,17070202,1182991.19,43.25366043816923,32.2680539692445,55.223648143917394,28.326495837426467,28.305717277818804,28.1618911913049,98.66322964291156,93.80826075450192,69.36870969523085,116.41803491767588,89.52262348627319,114.9746279770533,30.550282772520756,12.703377665648471,1.7177711967237421,24.67336537139664,-2.2237869350942887,-2.244565494701952,-2.3883915812158563
2004-07-01,2004,17070202,1182991.19,15.803226927074274,14.673773063254114,26.056783183469808,11.747283660422283,12.447956759274264,13.259902281667568,96.04841762686124,56.13895749962073,70.53256544767721,112.10738903568628,102.19966783404564,116.32839341071116,5.6424501855369975,10.160776741537276,9.031322877717116,20.41433299793281,6.104833474885286,6.805506573737267,7.61745209613057
